frame,side,x,y,z,reach,height,root_rot_z
1,Left,0.3126163184642792,-0.3700590431690216,0.0873442217707634,0.8475132219442227,0.0873442217707634,0.004224857781082392
1,Right,-0.27042293548583984,0.055980514734983444,0.08679743111133575,0.811102876356497,0.08679743111133575,0.004224857781082392
2,Left,0.3125094175338745,-0.37014952301979065,0.08734544366598129,0.8476124611544388,0.08734544366598129,0.0006740244571119547
2,Right,-0.2709936797618866,0.05701644346117973,0.08679591119289398,0.8117003093181518,0.08679591119289398,0.0006740244571119547
3,Left,0.31253254413604736,-0.3702666461467743,0.08734536170959473,0.8481311061325882,0.08734536170959473,-0.0018839911790564656
3,Right,-0.2710769474506378,0.05643753707408905,0.086797334253788,0.811615946669283,0.086797334253788,-0.0018839911790564656
4,Left,0.31252315640449524,-0.3703616261482239,0.08734513819217682,0.8487054378921088,0.08734513819217682,-0.00437276903539896
4,Right,-0.27094700932502747,0.05577053129673004,0.08681531995534897,0.8113225075311924,0.08681531995534897,-0.00437276903539896
5,Left,0.31257301568984985,-0.37038278579711914,0.08734482526779175,0.8494428734576067,0.08734482526779175,-0.007026823237538338
5,Right,-0.27110305428504944,0.05576048418879509,0.08679548650979996,0.8111146787990413,0.08679548650979996,-0.007026823237538338
6,Left,0.3126243054866791,-0.37033745646476746,0.08734531700611115,0.850354781860779,0.08734531700611115,-0.008876504376530647
6,Right,-0.2715988755226135,0.05672433599829674,0.08679414540529251,0.8114872406783792,0.08679414540529251,-0.008876504376530647
7,Left,0.3131316602230072,-0.3693388104438782,0.0873456746339798,0.8514941717435281,0.0873456746339798,-0.009813426993787289
7,Right,-0.27147048711776733,0.05601806193590164,0.08679162710905075,0.811540635588892,0.08679162710905075,-0.009813426993787289
8,Left,0.31285780668258667,-0.369453102350235,0.08734529465436935,0.8527890698536635,0.08734529465436935,-0.009509995579719543
8,Right,-0.27152693271636963,0.056121792644262314,0.08679179847240448,0.8119468972763676,0.08679179847240448,-0.009509995579719543
9,Left,0.3127458989620209,-0.3690786063671112,0.08734513819217682,0.8537214519836804,0.08734513819217682,-0.00781224062666297
9,Right,-0.27174994349479675,0.056570641696453094,0.08679293096065521,0.8121432635386667,0.08679293096065521,-0.00781224062666297
10,Left,0.31278881430625916,-0.3693767189979553,0.0873442068696022,0.8542337582666857,0.0873442068696022,-0.0046039242297410965
10,Right,-0.27193257212638855,0.05639861151576042,0.0867927148938179,0.8119552567442173,0.0867927148938179,-0.0046039242297410965
11,Left,0.3130911588668823,-0.3700479567050934,0.08724194020032883,0.8547086060165306,0.08724194020032883,-0.0006609258125536144
11,Right,-0.2717500329017639,0.05698937177658081,0.0867934301495552,0.8113073619082984,0.0867934301495552,-0.0006609258125536144
12,Left,0.3133014440536499,-0.37007203698158264,0.08722665905952454,0.8541951736872523,0.08722665905952454,0.0030729894060641527
12,Right,-0.27182626724243164,0.057352978736162186,0.08679428696632385,0.8103466188707983,0.08679428696632385,0.0030729894060641527
13,Left,0.3135510981082916,-0.37010887265205383,0.08717881143093109,0.8536131953636644,0.08717881143093109,0.006106739863753319
13,Right,-0.27114659547805786,0.05645249783992767,0.08679290115833282,0.8090022294649754,0.08679290115833282,0.006106739863753319
14,Left,0.3136930763721466,-0.37013980746269226,0.08730211853981018,0.8530368094746115,0.08730211853981018,0.007836678996682167
14,Right,-0.27094635367393494,0.05626382306218147,0.08679449558258057,0.8084880683777997,0.08679449558258057,0.007836678996682167
15,Left,0.31371670961380005,-0.37017253041267395,0.08737849444150925,0.8524924021882923,0.08737849444150925,0.00828484632074833
15,Right,-0.27084702253341675,0.05615292489528656,0.0867953896522522,0.8084297866254253,0.0867953896522522,0.00828484632074833
16,Left,0.3136192262172699,-0.37015509605407715,0.08737222105264664,0.8522806180061289,0.08737222105264664,0.008064973168075085
16,Right,-0.2707919180393219,0.05692658573389053,0.08679564297199249,0.8087950400652294,0.08679564297199249,0.008064973168075085
17,Left,0.3130316138267517,-0.3691056966781616,0.08734550327062607,0.8520364710964207,0.08734550327062607,0.006924131419509649
17,Right,-0.27087897062301636,0.056652940809726715,0.08679475635290146,0.809283805187048,0.08679475635290146,0.006924131419509649
18,Left,0.3124220073223114,-0.36931130290031433,0.08715338259935379,0.852509125558612,0.08715338259935379,0.005996266379952431
18,Right,-0.2710643708705902,0.05634715408086777,0.08679515868425369,0.8100216266734761,0.08679515868425369,0.005996266379952431
19,Left,0.31246495246887207,-0.3697238862514496,0.0871831402182579,0.8524506578785735,0.0871831402182579,0.005252375267446041
19,Right,-0.2706950008869171,0.05554089695215225,0.08679452538490295,0.8105616005168874,0.08679452538490295,0.005252375267446041
20,Left,0.31239932775497437,-0.36992770433425903,0.08720877021551132,0.8521033240789224,0.08720877021551132,0.004955202341079712
20,Right,-0.27107325196266174,0.056339334696531296,0.08679897338151932,0.8113406396634394,0.08679897338151932,0.004955202341079712
21,Left,0.31252068281173706,-0.3700625002384186,0.08724230527877808,0.8513688667877641,0.08724230527877808,0.0055479793809354305
21,Right,-0.2709561288356781,0.05625040829181671,0.08680061995983124,0.8116537258072372,0.08680061995983124,0.0055479793809354305
22,Left,0.3126586675643921,-0.370060533285141,0.08744393289089203,0.8501772813135916,0.08744393289089203,0.006183205638080835
22,Right,-0.27082300186157227,0.056150104850530624,0.08680173009634018,0.8116943796756586,0.08680173009634018,0.006183205638080835
23,Left,0.31283053755760193,-0.37038490176200867,0.0873458981513977,0.8489365182406254,0.0873458981513977,0.007558082230389118
23,Right,-0.2707202434539795,0.05602094903588295,0.08680246025323868,0.81160632948424,0.08680246025323868,0.007558082230389118
24,Left,0.3115920424461365,-0.36981067061424255,0.08732399344444275,0.8468998641414536,0.08732399344444275,0.009158900007605553
24,Right,-0.2705852687358856,0.0558793768286705,0.086802177131176,0.8113055034104638,0.086802177131176,0.009158900007605553
25,Left,0.31139177083969116,-0.3697223663330078,0.08747036755084991,0.8453706457796424,0.08747036755084991,0.01077305432409048
25,Right,-0.27057236433029175,0.05581415817141533,0.08680234849452972,0.8112330244140485,0.08680234849452972,0.01077305432409048
26,Left,0.3121683597564697,-0.37009167671203613,0.08734365552663803,0.84474594226282,0.08734365552663803,0.012703885324299335
26,Right,-0.27067145705223083,0.055870842188596725,0.08680179715156555,0.8115701902948359,0.08680179715156555,0.012703885324299335
27,Left,0.3111993670463562,-0.36958566308021545,0.08734117448329926,0.8437904507159517,0.08734117448329926,0.01413033064454794
27,Right,-0.27080535888671875,0.055986300110816956,0.08680150657892227,0.8122083307778485,0.08680150657892227,0.01413033064454794
